Size/Diameter,Cut Angle,Cut Axis,Grade,Thickness,Polishing,Flat,PN,Cost,Shear Constant
6 Inch          ,128°    ,Y-Cut   ,SAW grade           ,0.5mm       ,both side polished              ,                    ,PWLN-451242     ,$196.00,
8 Inch          ,128°    ,Y-Cut   ,SAW grade           ,0.5mm       ,single side polished            ,                    ,PWLN-471241     ,$425.00,
40X50mm         ,128°    ,Y-Cut   ,SAW grade           ,0.5mm       ,both side polished              ,                    ,PWLN-4R1512     ,$58.00,
10.0X100.0mm    ,128°    ,Y-Cut   ,SAW grade           ,0.5mm       ,double side polished            ,                    ,PWLN-4R1672     ,$65.00,
3mm in          ,        ,Z-Cut   ,Optical grade       ,0.5mm       ,both side polished              ,no primary flat     ,POLN-3F1462     ,$20.00,
5mm in          ,        ,Z-Cut   ,Optical grade       ,0.5mm       ,both side polished              ,no primary flat     ,POLN-301462     ,$20.00,
21.5mm in       ,        ,Z-Cut   ,Optical grade       ,0.5mm       ,both side polished              ,no primary flat     ,POLN-391462     ,$42.00,
2 Inch          ,        ,Z-Cut   ,Optical grade       ,0.5mm       ,both side polished              ,                    ,POLN-311312     ,$52.00,
2 Inch          ,        ,Z-Cut   ,Optical grade       ,0.5mm       ,single side polished            ,                    ,POLN-311311     ,$45.00,
3 Inch          ,        ,Z-Cut   ,SAW grade           ,0.5mm       ,double side polished            ,                    ,PWLN-321322     ,$60.00,
4 Inch          ,        ,Z-Cut   ,SAW grade           ,0.5mm       ,double side polished            ,                    ,PWLN-331332     ,$86.00,
6 Inch          ,        ,Z-Cut   ,SAW grade           ,0.5mm       ,both side polished              ,                    ,PWLN-351342     ,$218.00,
8 Inch          ,        ,Z-Cut   ,SAW grade           ,0.5mm       ,double side polished            ,                    ,PWLN-371342     ,$480.00,
3 Inch          ,        ,Z-Cut   ,Optical grade       ,0.5mm       ,both side polished              ,                    ,POLN-321322     ,$92.00,
4 Inch          ,        ,Z-Cut   ,Optical grade       ,0.5mm       ,both side polished              ,                    ,POLN-331232     ,$168.00,
25.4X25.4mm     ,        ,Y-Cut   ,SAW grade           ,0.6mm       ,both side polished              ,                    ,PWLN-2RL612     ,$50.00,
50.8X50.8mm     ,        ,Y-Cut   ,SAW grade           ,0.6mm       ,both side polished              ,                    ,PWLN-2RL622     ,$68.00,
76.2X76.2mm     ,        ,Y-Cut   ,SAW grade           ,0.6mm       ,both side polished              ,                    ,PWLN-2RL632     ,$90.00,
3 Inch          ,128°    ,Y-Cut   ,SAW grade           ,0.6mm       ,both side polished              ,                    ,PWLN-42L222     ,$72.00,
8.0X25.0mm      ,128°    ,Y-Cut   ,SAW grade           ,0.6mm       ,double side polished            ,                    ,PWLN-4RL602     ,$30.00,
9.0X25.0mm      ,128°    ,Y-Cut   ,SAW grade           ,0.6mm       ,double side polished            ,                    ,PWLN-4RL612     ,$30.00,
3 Inch          ,        ,X-Cut   ,Optical grade       ,1.0mm       ,both side polished              ,                    ,POLN-125122     ,$138.00,
25.4X76.2mm     ,        ,Y-Cut   ,SAW grade           ,1.0mm       ,Single side polished            ,                    ,PWLN-2R5531     ,$60.00,
4 Inch          ,64°     ,Y-Cut   ,SAW grade           ,1.0mm       ,Single side polished            ,                    ,PWLN-535231     ,$90.00,
40.0X40.0mm     ,64°     ,Y-Cut   ,SAW grade           ,1.0mm       ,Single side polished            ,                    ,PWLN-5R5541     ,$58.00,
25.0X40.0mm     ,64°     ,Y-Cut   ,SAW grade           ,1.0mm       ,Single side polished            ,                    ,PWLN-5R5551     ,$50.00,
2 Inch          ,128°    ,Y-Cut   ,SAW grade           ,1.0mm       ,double side polished            ,                    ,PWLN-415212     ,$45.00,
3 Inch          ,128°    ,Y-Cut   ,SAW grade           ,1.0mm       ,both side polished              ,                    ,PWLN-425222     ,$75.00,
4 Inch          ,128°    ,Y-Cut   ,SAW grade           ,1.0mm       ,single side polished            ,                    ,PWLN-435231     ,$90.00,
10.0X67.0mm     ,128°    ,Y-Cut   ,SAW grade           ,1.0mm       ,double side polished            ,                    ,PWLN-4R5582     ,$56.00,
5.0X67.0mm      ,128°    ,Y-Cut   ,SAW grade           ,1.0mm       ,double side polished            ,                    ,PWLN-4R5602     ,$52.00,
3 Inch          ,        ,Z-Cut   ,SAW grade           ,1.0mm       ,double side polished            ,                    ,PWLN-325322     ,$75.00,
60mm in         ,        ,Y-Cut   ,SAW grade           ,1.375mm     ,double side polished            ,                    ,PWLN-200002     ,$95.00,
10.0X70.0mm     ,41°     ,Y-Cut   ,SAW grade           ,1.5mm       ,Single side polished            ,                    ,PWLN-6RG561     ,$45.00,
4 Inch          ,128°    ,Y-Cut   ,SAW grade           ,2.0mm       ,both side polished              ,                    ,PWLN-43M232     ,$160.00,
3 Inch          ,        ,X-Cut   ,Optical grade       ,4.0mm       ,both side polished              ,                    ,POLN-12E122     ,$368.00,
